GO_term,category,bin_edge,with_term_hist,without_term_hist
ALL_IDRs,cellcom,0.32,2.239259340790023,0.0
ALL_IDRs,cellcom,0.33,2.230276899564919,0.0
ALL_IDRs,cellcom,0.34,2.2138301761950108,0.0
ALL_IDRs,cellcom,0.35000000000000003,2.2031271546789135,0.0
ALL_IDRs,cellcom,0.36,2.170891576873881,0.0
ALL_IDRs,cellcom,0.37,2.1309639930620112,0.0
ALL_IDRs,cellcom,0.38,2.084457719902178,0.0
ALL_IDRs,cellcom,0.39,2.033143942988064,0.0
ALL_IDRs,cellcom,0.4,1.9996179299647894,0.0
ALL_IDRs,cellcom,0.41000000000000003,1.974391186580495,0.0
ALL_IDRs,cellcom,0.42,1.9271764391831783,0.0
ALL_IDRs,cellcom,0.43,1.8732817918325555,0.0
ALL_IDRs,cellcom,0.44,1.8020042230125066,0.0
ALL_IDRs,cellcom,0.45,1.7326749583455086,0.0
ALL_IDRs,cellcom,0.46,1.6406239127766988,0.0
ALL_IDRs,cellcom,0.47000000000000003,1.5967744180073984,0.0
ALL_IDRs,cellcom,0.48,1.5112008511811896,0.0
ALL_IDRs,cellcom,0.49,1.4465778796631192,0.0
ALL_IDRs,cellcom,0.5,1.3772739176474595,0.0
ALL_IDRs,cellcom,0.51,1.295192116705948,0.0
ALL_IDRs,cellcom,0.52,1.2338837925131974,0.0
ALL_IDRs,cellcom,0.53,1.1861882947404634,0.0
ALL_IDRs,cellcom,0.54,1.1057258634846043,0.0
ALL_IDRs,cellcom,0.55,1.0470743176823774,0.0
ALL_IDRs,cellcom,0.56,0.9932049729830932,0.0
ALL_IDRs,cellcom,0.5700000000000001,0.9323520965144428,0.0
ALL_IDRs,cellcom,0.58,0.8617576992805184,0.0
ALL_IDRs,cellcom,0.59,0.8383780494439103,0.0
ALL_IDRs,cellcom,0.6,0.756169735245707,0.0
ALL_IDRs,cellcom,0.61,0.7311707157234464,0.0
ALL_IDRs,cellcom,0.62,0.6700901153927409,0.0
ALL_IDRs,cellcom,0.63,0.6143230718430824,0.0
ALL_IDRs,cellcom,0.64,0.5697904054876386,0.0
ALL_IDRs,cellcom,0.65,0.5147065335241149,0.0
ALL_IDRs,cellcom,0.66,0.4891002503697346,0.0
ALL_IDRs,cellcom,0.67,0.44993174609801445,0.0
ALL_IDRs,cellcom,0.68,0.4031218411221216,0.0
ALL_IDRs,cellcom,0.6900000000000001,0.37761676857309456,0.0
ALL_IDRs,cellcom,0.7000000000000001,0.3492524964228413,0.0
ALL_IDRs,cellcom,0.71,0.3176494849012751,0.0
ALL_IDRs,cellcom,0.72,0.28311136582446766,0.0
ALL_IDRs,cellcom,0.73,0.26087033529808396,0.0
ALL_IDRs,cellcom,0.74,0.23916066044980502,0.0
ALL_IDRs,cellcom,0.75,0.21552798409981372,0.0
ALL_IDRs,cellcom,0.76,0.19832218118975578,0.0
ALL_IDRs,cellcom,0.77,0.1766884142954918,0.0
ALL_IDRs,cellcom,0.78,0.1611019810710864,0.0
ALL_IDRs,cellcom,0.79,0.14698310162430359,0.0
ALL_IDRs,cellcom,0.8,0.13729218616172684,0.0
ALL_IDRs,cellcom,0.81,0.12276846429353089,0.0
ALL_IDRs,cellcom,0.8200000000000001,0.12011168590300725,0.0
ALL_IDRs,cellcom,0.8300000000000001,0.11540539275408092,0.0
ALL_IDRs,cellcom,0.84,0.10950987499225096,0.0
ALL_IDRs,cellcom,0.85,0.10298179094696429,0.0
ALL_IDRs,cellcom,0.86,0.09943941975959943,0.0
ALL_IDRs,cellcom,0.87,0.09898397203550965,0.0
ALL_IDRs,cellcom,0.88,0.09227876943085472,0.0
ALL_IDRs,cellcom,0.89,0.09088712360724711,0.0
ALL_IDRs,cellcom,0.9,0.08106969488797876,0.0
ALL_IDRs,cellcom,0.91,0.07163180593878524,0.0
ALL_IDRs,cellcom,0.92,0.07327647827577607,0.0
ALL_IDRs,cellcom,0.93,0.0651543271961752,0.0
ALL_IDRs,cellcom,0.9400000000000001,0.05647551778713127,0.0
ALL_IDRs,cellcom,0.9500000000000001,0.0501245523012134,0.0
ALL_IDRs,cellcom,0.96,0.03170422212691554,0.0
ALL_IDRs,cellcom,0.97,0.02350616309329971,0.0
ALL_IDRs,cellcom,0.98,0.012195877945070464,0.0
ALL_IDRs,cellcom,0.99,0.0011133166588861005,0.0
Golgi apparatus,cellcom,0.0,0.019718157560800302,0.03309761818103847
Golgi apparatus,cellcom,0.01,0.07632835184825924,0.13401236597388916
Golgi apparatus,cellcom,0.02,0.2016340627991515,0.24094736159202845
Golgi apparatus,cellcom,0.03,0.3059494769917724,0.3252858105782626
Golgi apparatus,cellcom,0.04,0.3622416364798635,0.41503973363564683
Golgi apparatus,cellcom,0.05,0.5101278181858662,0.5134529172636519
Golgi apparatus,cellcom,0.06,0.552108411702408,0.6297344163548412
Golgi apparatus,cellcom,0.07,0.6955421062172626,0.7181688330395603
Golgi apparatus,cellcom,0.08,0.8049460771997675,0.8183138687816891
Golgi apparatus,cellcom,0.09,0.874595698261303,0.9155175049014156
Golgi apparatus,cellcom,0.1,0.9455174585203119,1.0246241880912357
Golgi apparatus,cellcom,0.11,1.049514837913565,1.1291400886928205
Golgi apparatus,cellcom,0.12,1.1849976624442236,1.218454176292648
Golgi apparatus,cellcom,0.13,1.1919944280303139,1.326598719419064
Golgi apparatus,cellcom,0.14,1.381225133654127,1.4074459744609567
Golgi apparatus,cellcom,0.15,1.3510118277141874,1.4775172607927363
Golgi apparatus,cellcom,0.16,1.4734552254707698,1.5890430389991088
